Instance,Income
111994,3.44E+04
111995,1.14E+04
111996,3.58E+04
111997,1.01E+05
111998,3.28E+04
111999,7.98E+04
112000,9.56E+04
112001,5.94E+04
112002,4.18E+04
112003,1.06E+05
112004,1.05E+04
112005,1.58E+05
112006,3.16E+04
112007,9.90E+04
112008,2.63E+05
112009,7.19E+04
112010,4.67E+04
112011,3.49E+04
112012,2.36E+04
112013,1.96E+04
112014,1.33E+05
112015,5.19E+04
112016,4.82E+04
112017,2.28E+04
112018,1.53E+05
112019,4.57E+04
112020,4.36E+04
112021,2.56E+04
112022,9.70E+04
112023,5.57E+04
112024,2.96E+04
112025,7.28E+04
112026,3.95E+04
112027,6.30E+04
112028,3.81E+04
112029,5.78E+04
112030,1.83E+05
112031,1.97E+05
112032,2.32E+05
112033,1.11E+05
112034,2.01E+05
112035,1.03E+05
112036,1.77E+05
112037,1.49E+05
112038,1.88E+05
112039,5.57E+04
112040,6.78E+04
112041,6.44E+04
112042,4.90E+04
112043,6.99E+04
112044,5.42E+04
112045,1.81E+04
112046,2.63E+05
112047,3.42E+04
112048,3.01E+04
112049,8.60E+04
112050,4.40E+04
112051,7.92E+04
112052,1.26E+05
112053,1.78E+05
112054,7.95E+04
112055,3.16E+04
112056,9.54E+04
112057,2.46E+04
112058,3.40E+04
112059,4.19E+04
112060,3.26E+05
112061,1.37E+05
112062,2.13E+05
112063,7.57E+04
112064,2.42E+04
112065,5.69E+04
112066,1.19E+04
112067,1.15E+05
112068,4.39E+04
112069,2.62E+05
112070,3.64E+05
112071,4.26E+04
112072,8.00E+04
112073,4.32E+04
112074,3.12E+04
112075,1.40E+04
112076,1.41E+05
112077,1.12E+06
112078,7.48E+03
112079,1.56E+05
112080,9.08E+04
112081,8.50E+05
112082,4.34E+04
112083,4.58E+04
112084,2.43E+04
112085,4.80E+04
112086,3.36E+04
112087,5.94E+04
112088,1.26E+05
112089,6.01E+04
112090,1.85E+05
112091,4.81E+04
112092,3.58E+04
112093,7.93E+04
112094,3.87E+04
112095,4.88E+04
112096,1.02E+05
112097,2.38E+04
112098,4.04E+04
112099,4.09E+04
112100,4.05E+04
112101,2.17E+05
112102,4.26E+04
112103,1.32E+05
112104,7.51E+04
112105,4.25E+04
112106,9.88E+04
112107,1.04E+05
112108,6.12E+04
112109,3.35E+04
112110,4.34E+04
112111,3.16E+04
112112,7.53E+04
112113,6.75E+04
112114,6.53E+04
112115,1.89E+04
112116,4.94E+04
112117,7.94E+04
112118,3.21E+04
112119,3.86E+04
112120,5.31E+05
112121,1.12E+05
112122,5.04E+05
112123,1.91E+05
112124,4.08E+04
112125,1.88E+05
112126,1.67E+05
112127,2.47E+04
112128,4.65E+04
112129,1.17E+05
112130,8.98E+04
112131,2.73E+04
112132,8.17E+04
112133,2.57E+05
112134,1.84E+04
112135,1.60E+04
112136,4.27E+04
112137,1.38E+04
112138,4.03E+04
112139,6.14E+04
112140,4.54E+04
112141,3.92E+04
112142,6.58E+04
112143,2.11E+05
112144,3.67E+04
112145,3.34E+04
112146,4.33E+04
112147,2.38E+05
112148,5.31E+04
112149,6.02E+04
112150,1.06E+04
112151,3.14E+05
112152,8.86E+04
112153,6.12E+04
112154,2.90E+04
112155,1.05E+05
112156,6.45E+04
112157,8.43E+04
112158,3.63E+04
112159,2.63E+05
112160,5.25E+04
112161,1.59E+05
112162,6.57E+04
112163,1.54E+04
112164,3.06E+04
112165,1.25E+05
112166,5.17E+04
112167,2.36E+04
112168,4.95E+04
112169,2.59E+05
112170,2.08E+05
112171,4.60E+04
112172,2.39E+04
112173,1.29E+05
112174,4.14E+04
112175,4.29E+04
112176,3.64E+04
112177,1.05E+05
112178,1.91E+04
112179,3.48E+04
112180,4.17E+04
112181,1.04E+04
112182,2.47E+05
112183,9.32E+04
112184,3.25E+04
112185,2.74E+05
112186,1.41E+04
112187,1.25E+05
112188,1.35E+05
112189,4.55E+04
112190,3.72E+04
112191,8.00E+04
112192,2.31E+05
112193,3.48E+04
112194,1.50E+05
112195,4.26E+04
112196,3.34E+04
112197,2.19E+05
112198,3.40E+04
112199,4.81E+04
112200,5.85E+04
112201,3.02E+05
112202,1.27E+05
112203,4.21E+04
112204,4.57E+04
112205,6.43E+03
112206,1.04E+05
112207,2.79E+05
112208,6.15E+04
112209,3.91E+05
112210,5.70E+04
112211,2.21E+05
112212,5.47E+04
112213,2.33E+04
112214,2.09E+05
112215,4.35E+04
112216,9.84E+04
112217,4.38E+04
112218,4.90E+04
112219,3.86E+05
112220,2.82E+04
112221,1.14E+04
112222,3.49E+04
112223,5.76E+04
112224,1.55E+05
112225,2.36E+04
112226,4.82E+04
112227,6.09E+04
112228,1.11E+05
112229,5.67E+04
112230,1.99E+05
112231,1.37E+04
112232,1.56E+05
112233,2.48E+04
112234,4.66E+04
112235,2.75E+04
112236,1.09E+05
112237,3.12E+05
112238,4.63E+04
112239,1.56E+04
112240,1.95E+04
112241,2.48E+04
112242,5.35E+04
112243,6.33E+04
112244,1.59E+05
112245,1.03E+05
112246,4.67E+04
112247,4.33E+05
112248,7.95E+04
112249,1.68E+04
112250,5.01E+04
112251,5.12E+04
112252,6.23E+04
112253,2.88E+04
112254,2.72E+05
112255,4.33E+04
112256,3.61E+04
112257,3.96E+04
112258,5.23E+05
112259,1.84E+05
112260,9.65E+04
112261,3.47E+05
112262,9.84E+04
112263,3.59E+04
112264,9.62E+04
112265,1.63E+04
112266,3.79E+04
112267,5.69E+04
112268,4.19E+04
112269,4.03E+05
112270,2.91E+04
112271,7.37E+04
112272,9.21E+04
112273,1.22E+05
112274,8.57E+03
112275,1.83E+05
112276,2.17E+05
112277,7.42E+04
112278,3.60E+04
112279,3.17E+04
112280,1.25E+05
112281,7.39E+04
112282,2.00E+05
112283,9.64E+04
112284,6.16E+04
112285,7.01E+04
112286,3.81E+04
112287,3.58E+04
112288,7.98E+04
112289,2.91E+05
112290,1.90E+05
112291,3.44E+04
112292,5.78E+05
112293,2.96E+04
112294,3.50E+05
112295,3.33E+04
112296,2.36E+05
112297,6.11E+04
112298,5.49E+04
112299,4.20E+04
112300,1.54E+04
112301,3.64E+04
112302,1.63E+04
112303,4.09E+04
112304,1.73E+05
112305,3.04E+04
112306,4.90E+04
112307,4.37E+04
112308,1.03E+05
112309,5.00E+04
112310,4.36E+04
112311,9.08E+04
112312,4.13E+04
112313,1.14E+05
112314,3.91E+04
112315,1.72E+05
112316,4.79E+04
112317,2.63E+04
112318,2.96E+04
112319,2.82E+04
112320,8.65E+05
112321,6.04E+04
112322,1.74E+04
112323,1.11E+05
112324,4.07E+05
112325,2.27E+05
112326,1.10E+05
112327,2.18E+05
112328,1.26E+05
112329,1.24E+05
112330,3.29E+05
112331,3.37E+05
112332,1.82E+05
112333,2.84E+05
112334,2.12E+05
112335,5.77E+04
112336,3.61E+04
112337,2.39E+05
112338,2.99E+05
112339,2.42E+05
112340,4.65E+04
112341,1.06E+06
112342,2.45E+04
112343,4.54E+04
112344,2.50E+04
112345,3.71E+04
112346,7.05E+04
112347,2.37E+04
112348,2.60E+04
112349,2.95E+04
112350,8.70E+04
112351,3.77E+04
112352,6.00E+04
112353,9.64E+03
112354,1.23E+05
112355,5.10E+04
112356,5.94E+04
112357,6.21E+04
112358,8.25E+04
112359,4.78E+04
112360,2.03E+04
112361,1.52E+05
112362,5.91E+04
